,Age Bin,group_weighted_mean,group_combined_std
0,55.0-60.0,0.29720203900812897,0.014854142142583336
1,60.0-65.0,0.7141550291424741,0.03696766850816118
2,65.0-70.0,0.751677458353063,0.026495698202972182
3,70.0-75.0,0.5898479508085693,0.09667454738905323
4,75.0-80.0,0.5623532158111266,0.03373507188481885
5,80.0-inf,0.8946417312625651,0.01031533995487629
